number,value,datetime_start,datetime_complete,duration,params_lambda_A,params_lambda_B,params_lambda_C,params_non_negative,params_rank,user_attrs_explained_variance,user_attrs_final_loss,user_attrs_sparsity_A,user_attrs_sparsity_B,user_attrs_sparsity_C,state
70,15.826208209385412,2025-10-15 14:50:17.681239,2025-10-15 14:50:18.002633,0 days 00:00:00.321394,0.00020576736449091554,0.01649091002559682,0.0002767469804937398,True,29,0.0730748490688099,2910836.6576151988,0.7586206896551724,0.7586206896551724,0.7586206896551724,COMPLETE
71,7.702411290712876,2025-10-15 14:50:18.003620,2025-10-15 14:50:18.540177,0 days 00:00:00.536557,0.004682374878204598,0.6848942691611007,0.1458748266820725,True,30,0.0,3140314.2646988425,1.0,1.0,1.0,COMPLETE
72,15.80105990989417,2025-10-15 14:50:18.541054,2025-10-15 14:50:18.957095,0 days 00:00:00.416041,0.0004173787186088282,0.0011529544120358283,0.4742058117389902,True,29,0.07194548950033386,2914470.802262339,0.7586206896551724,0.7586206896551724,0.7586206896551724,COMPLETE
73,7.702411290712876,2025-10-15 14:50:18.958052,2025-10-15 14:50:19.487745,0 days 00:00:00.529693,0.01212198336015896,0.5924770559489551,0.32004671210870145,True,30,0.0,3140314.2646988425,1.0,1.0,1.0,COMPLETE
74,12.234489727409514,2025-10-15 14:50:19.488743,2025-10-15 14:50:19.791120,0 days 00:00:00.302377,0.003924637870491414,0.18137310874128393,0.20975580042571393,True,27,0.03706881625445779,3023929.0308205397,0.8518518518518519,0.8518518518518519,0.8518518518518519,COMPLETE
75,13.2527783451824,2025-10-15 14:50:19.792060,2025-10-15 14:50:20.285258,0 days 00:00:00.493198,0.0017514230152006144,0.25331041899224466,0.9605941196159318,True,28,0.040964129248176495,3011777.351882698,0.8214285714285714,0.8214285714285714,0.8214285714285714,COMPLETE
76,7.702411290712876,2025-10-15 14:50:20.286214,2025-10-15 14:50:20.697292,0 days 00:00:00.411078,0.005735743712639571,0.8095296729776793,0.2543165733907181,False,23,0.0,3140314.2646988425,1.0,1.0,1.0,COMPLETE
77,14.261155851513632,2025-10-15 14:50:20.698290,2025-10-15 14:50:20.977961,0 days 00:00:00.279671,0.0027745736834864977,0.37998859145228436,0.047375789114311624,True,25,0.04439817429764348,3000900.885275672,0.76,0.76,0.76,COMPLETE
78,7.702411290712876,2025-10-15 14:50:20.978928,2025-10-15 14:50:21.191429,0 days 00:00:00.212501,0.007562650866769657,0.9846421914280261,0.0811825818579365,True,14,0.0,3140314.2646988425,1.0,1.0,1.0,COMPLETE
79,13.964210118071469,2025-10-15 14:50:21.192387,2025-10-15 14:50:21.515293,0 days 00:00:00.322906,0.013490008791369214,0.5122101209088451,0.11556257048473018,True,29,0.03068064679136795,3043989.1502311467,0.7931034482758621,0.7931034482758621,0.7931034482758621,COMPLETE
